"Grad_Rate","Accept","Top10perc","Top25perc","F_Undergrad","P_Undergrad","PhD","Expend","Private"
55,880,13,34,915,80,75,8425,"Yes"
75,1465,24,49,2159,211,90,12751,"Yes"
118,3433,9,35,1010,12,22,7697,"Yes"
74,607,25,58,791,764,58,10961,"Yes"
64,1090,25,55,2196,82,50,6897,"Yes"
24,312,12,46,396,526,41,9583,"Yes"
66,434,35,55,775,44,86,9685,"Yes"
47,396,1,20,525,323,8,13025,"Yes"
67,1113,31,65,1355,40,76,8444,"Yes"
49,2532,6,24,6394,3881,69,4900,"No"
50,4101,10,35,8094,1596,69,5501,"No"
51,2011,8,65,6507,898,67,6413,"No"
58,146,8,29,1047,33,62,3365,"Yes"
74,888,55,82,943,7,95,13118,"Yes"
47,771,23,48,1662,209,72,12692,"Yes"
52,197,28,56,471,148,95,16095,"Yes"
73,254,25,64,518,232,71,7729,"Yes"
58,72,33,71,139,3,92,10922,"Yes"
63,520,16,42,1068,364,81,8129,"Yes"
48,766,3,37,2910,1749,80,4639,"No"
21,697,21,47,959,13,69,7083,"Yes"
87,767,71,93,887,1,99,18443,"Yes"
79,2059,30,61,1928,296,94,11951,"Yes"
74,340,14,45,604,350,67,7963,"Yes"
77,1953,35,68,2332,53,95,11659,"Yes"
73,5257,37,65,11755,770,82,7597,"No"
46,561,15,30,1125,422,67,4417,"No"
67,742,29,60,1127,205,73,10141,"Yes"
75,452,15,47,690,222,64,8741,"Yes"
91,1319,58,84,1720,35,83,15954,"Yes"
93,2492,46,75,2649,25,95,15494,"Yes"
96,888,29,58,1121,493,56,8604,"Yes"
51,3140,22,55,6851,1200,73,4776,"No"
100,620,14,41,1165,1232,46,6889,"Yes"
83,648,23,46,707,432,75,10015,"Yes"
43,264,11,42,500,331,77,9773,"Yes"
75,356,35,61,667,1983,64,7477,"Yes"
72,864,29,62,1715,103,70,8847,"Yes"
77,411,23,51,1692,562,63,7315,"Yes"
78,359,34,53,493,968,68,9447,"Yes"
64,664,23,57,1698,894,66,6084,"Yes"
80,447,16,42,873,683,40,8820,"Yes"
76,118,12,21,201,173,53,6936,"Yes"
72,596,29,60,1350,275,54,8996,"Yes"
95,1691,70,95,2675,22,92,12138,"Yes"
93,3106,68,88,5186,134,89,9534,"No"
69,1883,29,65,1704,1,84,14140,"Yes"
84,1577,56,87,1892,7,85,14664,"Yes"
59,6312,29,65,15646,1829,87,7850,"No"
37,158,10,28,690,5346,87,5015,"Yes"
76,614,21,67,968,237,61,8693,"Yes"
99,1930,78,96,3376,55,97,30639,"Yes"
45,266,13,29,1049,181,69,6955,"Yes"
42,216,16,34,534,172,67,6875,"Yes"
55,497,30,75,641,101,55,8415,"Yes"
75,403,22,56,1168,145,56,7309,"Yes"
91,1546,42,93,1630,232,86,14773,"Yes"
75,407,35,70,643,80,63,10965,"Yes"
64,1329,33,68,1140,10,71,10340,"Yes"
85,2836,30,60,3450,644,85,22906,"Yes"
51,1110,24,55,992,112,51,5807,"Yes"
63,789,26,47,1306,122,42,8189,"Yes"
46,619,18,47,1074,336,68,6898,"Yes"
54,482,10,36,550,84,46,8686,"Yes"
72,508,12,30,460,536,61,8643,"Yes"
98,2273,87,99,3918,32,95,29619,"Yes"
94,956,77,96,1601,6,95,17581,"Yes"
56,461,10,26,645,283,58,7505,"Yes"
58,945,15,48,2806,538,49,5113,"No"
81,2279,32,60,1835,14,88,12423,"Yes"
82,1656,50,80,1983,36,78,11525,"Yes"
87,2539,31,68,1889,62,87,13861,"Yes"
46,412,10,30,1376,237,50,4525,"No"
61,1376,41,88,1539,45,52,7566,"Yes"
60,709,20,47,1022,411,67,6852,"Yes"
54,329,4,19,756,863,43,5480,"Yes"
87,562,25,50,1048,56,61,7325,"Yes"
42,829,9,33,1059,2458,77,11178,"Yes"
77,2573,34,65,3322,726,88,9473,"Yes"
83,1580,56,84,1192,87,93,14907,"Yes"
67,650,33,66,1065,48,82,9303,"Yes"
97,3893,90,98,6188,53,95,27206,"Yes"
78,1006,35,63,1028,13,90,14634,"Yes"
58,6362,14,44,13171,1687,74,9002,"No"
42,2730,15,36,6706,2640,73,9825,"No"
38,341,10,36,1050,151,62,5619,"Yes"
54,369,16,42,1057,355,60,8135,"Yes"
50,1493,14,50,2766,1531,71,5719,"No"
76,4253,12,38,9161,845,62,5682,"No"
82,440,19,48,903,59,46,10188,"Yes"
70,409,17,40,1238,30,58,6430,"Yes"
59,1109,33,65,1363,23,82,15003,"Yes"
81,1843,36,70,1476,299,65,9815,"Yes"
64,1045,27,50,1109,502,77,7502,"Yes"
86,208,23,46,544,436,71,8952,"Yes"
63,2786,11,39,2933,334,70,6329,"Yes"
44,2584,14,40,4772,856,37,12878,"Yes"
82,646,30,60,809,32,79,8061,"Yes"
96,4168,76,97,5544,192,97,28457,"Yes"
50,1256,43,79,3957,588,72,5527,"No"
67,557,47,74,532,35,76,7527,"Yes"
53,454,36,56,484,16,62,9552,"Yes"
68,1101,14,50,3065,363,75,8355,"No"
94,3346,30,66,2984,1037,86,11220,"Yes"
24,1064,1,16,2632,617,75,6972,"No"
22,1107,12,36,1051,82,53,7967,"Yes"
69,714,18,52,1345,44,52,3930,"Yes"
57,1580,39,74,1863,233,90,8923,"Yes"
66,2079,42,89,10208,9310,81,6722,"No"
68,1040,20,44,1506,970,65,6339,"Yes"
58,8683,50,90,18906,3242,80,7250,"No"
62,245,16,49,981,337,45,4607,"Yes"
80,2874,30,55,4740,1646,86,10864,"Yes"
46,2823,16,35,3793,486,89,4362,"No"
43,1655,13,38,3224,436,76,5039,"No"
83,452,22,49,1301,242,57,6336,"Yes"
60,632,29,72,840,68,54,11751,"Yes"
51,4471,3,14,1818,1197,50,6418,"Yes"
62,548,20,54,1174,50,68,6078,"Yes"
54,274,51,87,704,63,59,8095,"Yes"
82,1951,56,82,2371,175,92,12940,"Yes"
65,1908,24,57,2693,691,47,7711,"Yes"
29,930,18,36,1603,374,65,5664,"Yes"
74,534,19,39,1306,258,67,6786,"Yes"
52,726,27,52,1271,43,53,7136,"Yes"
46,4326,17,29,9528,3822,93,6751,"No"
72,5062,38,71,5471,1470,92,14745,"Yes"
55,693,30,55,1063,48,73,7508,"Yes"
95,2881,71,93,5881,406,91,19635,"Yes"
70,4527,89,99,8528,654,92,11271,"No"
34,2341,9,24,7732,9054,87,7762,"No"
76,281,12,52,1095,785,56,7348,"Yes"
83,2466,42,78,1944,46,94,14720,"Yes"
36,468,10,27,823,963,25,6081,"Yes"
69,1524,31,67,2523,296,78,9553,"Yes"
66,565,25,54,1151,39,73,9226,"Yes"
72,396,26,51,910,166,51,10270,"Yes"
77,813,40,64,850,80,78,16623,"Yes"
64,428,18,46,618,113,53,9798,"Yes"
47,414,14,41,996,2281,51,5609,"Yes"
57,3887,20,60,8234,2619,64,5063,"No"
76,628,7,20,545,42,77,6475,"Yes"
39,494,10,31,649,314,64,7949,"Yes"
60,387,20,46,771,53,57,8222,"Yes"
83,1389,56,91,1333,30,88,18979,"Yes"
100,1110,57,88,2213,35,65,4957,"Yes"
65,1054,18,44,1410,299,78,9114,"Yes"
80,1385,36,72,2281,50,79,9907,"Yes"
96,237,30,56,716,1108,36,7483,"Yes"
91,1783,40,82,1646,24,91,17761,"Yes"
65,825,34,73,1362,102,89,10296,"Yes"
69,644,20,40,945,1,95,12263,"Yes"
70,3755,25,63,4623,740,60,6791,"Yes"
64,837,33,65,1024,15,84,9248,"Yes"
38,424,16,40,1365,334,75,7054,"Yes"
73,1068,35,75,3128,213,71,6466,"Yes"
73,1725,22,49,1464,67,75,11625,"Yes"
100,2165,90,100,6862,320,97,37219,"Yes"
100,572,95,100,654,5,100,21569,"Yes"
52,708,22,52,935,37,57,7335,"Yes"
63,721,52,87,954,6,82,8588,"Yes"
79,745,35,66,1133,42,80,12639,"Yes"
79,729,37,66,1000,275,75,12165,"Yes"
79,2081,25,53,1792,5,99,13040,"Yes"
60,5860,25,63,6534,1350,81,10093,"Yes"
72,498,26,58,795,74,78,13957,"Yes"
72,565,36,64,710,399,82,12434,"Yes"
72,1483,37,69,2505,208,72,9284,"Yes"
67,786,30,70,1210,26,85,8187,"Yes"
44,520,26,47,538,126,63,7703,"Yes"
47,430,20,46,488,43,76,9466,"Yes"
21,197,3,9,392,69,31,9249,"Yes"
84,652,10,30,951,706,36,4923,"Yes"
75,558,22,47,1222,519,81,8324,"Yes"
52,787,28,63,909,28,75,7348,"Yes"
56,1360,42,77,1911,626,80,12851,"Yes"
54,6695,10,35,15701,1823,77,5569,"No"
83,1342,55,86,1818,23,77,9605,"Yes"
69,253,16,44,494,1305,56,7305,"Yes"
95,927,16,49,1685,556,67,6095,"Yes"
40,4761,10,31,8596,1949,72,6996,"No"
68,13243,25,72,24763,2717,77,8686,"No"
34,423,20,48,2448,707,49,6562,"Yes"
66,3530,13,33,3906,1446,66,8107,"Yes"
65,7424,26,59,18676,1715,81,8420,"No"
75,5526,23,52,5612,166,58,9812,"Yes"
98,5285,32,72,9652,742,77,5212,"No"
54,410,14,41,9950,71,51,3186,"Yes"
26,1423,10,30,3817,1394,63,8367,"No"
75,405,24,53,961,99,68,8118,"Yes"
89,2109,27,57,3168,392,89,7738,"Yes"
90,3446,75,94,3566,1569,96,56233,"Yes"
36,669,3,13,1224,345,80,6564,"No"
56,228,10,30,552,67,34,7840,"Yes"
80,859,36,55,1075,43,97,12067,"Yes"
54,4075,25,55,14914,2246,76,6122,"No"
68,575,16,40,474,258,63,6535,"Yes"
61,2446,5,19,3480,776,73,6195,"No"
62,497,20,49,662,121,57,7058,"Yes"
88,1538,44,75,1445,1,95,14067,"Yes"
51,381,10,43,738,55,55,7863,"Yes"
87,1053,20,45,500,541,66,7649,"Yes"
65,300,34,65,509,44,65,8954,"Yes"
79,845,48,77,967,24,88,13224,"Yes"
52,321,10,41,650,819,57,7022,"Yes"
84,1834,20,56,2738,1662,90,9084,"Yes"
92,2402,36,59,2018,226,93,15365,"Yes"
75,399,15,35,600,363,77,9067,"Yes"
77,638,31,70,968,20,91,15687,"Yes"
57,452,24,47,887,1957,49,4054,"Yes"
26,1725,10,27,5438,4058,48,5879,"No"
60,538,15,35,840,325,61,5531,"Yes"
51,1009,9,33,2074,341,67,6119,"No"
77,947,50,77,1129,74,76,13965,"Yes"
94,1199,21,76,1820,558,89,8118,"Yes"
85,1060,28,56,965,502,84,8196,"Yes"
91,4304,40,84,4298,132,96,14665,"Yes"
66,743,25,46,1188,166,88,8539,"Yes"
58,198,12,33,1134,336,71,8694,"Yes"
56,417,29,54,1532,77,58,6863,"Yes"
69,2092,35,64,1763,59,97,12999,"Yes"
61,1050,12,31,2192,1423,36,7701,"Yes"
53,562,21,55,925,605,67,5177,"Yes"
45,1091,15,41,1196,33,71,10912,"No"
100,484,6,33,2155,191,65,3480,"Yes"
81,1188,48,72,1548,840,89,8747,"Yes"
92,473,22,47,621,11,53,9268,"Yes"
63,2215,17,41,3390,325,47,6374,"No"
62,1870,12,47,2874,118,74,5553,"No"
70,1283,20,39,1663,170,61,7578,"Yes"
59,1053,33,61,912,158,64,7547,"Yes"
37,4993,29,57,16269,3757,83,6741,"No"
45,2144,22,45,6720,1822,66,4546,"No"
80,3137,25,54,3010,184,86,9448,"Yes"
84,2662,42,64,3558,436,84,11677,"Yes"
53,1698,24,80,2740,761,77,9456,"Yes"
65,2959,25,55,5244,3417,94,13009,"Yes"
77,1392,38,72,2269,85,73,8949,"Yes"
72,1005,16,37,1363,74,75,8024,"Yes"
70,1500,3,21,1524,280,62,8832,"Yes"
51,502,6,20,959,150,48,7114,"No"
77,1496,56,86,1723,113,85,14213,"Yes"
59,558,12,29,628,63,49,10642,"Yes"
55,758,21,46,1605,246,42,4796,"Yes"
64,802,23,63,909,51,63,7940,"Yes"
79,1730,20,63,2578,254,92,10062,"Yes"
70,750,21,54,830,150,97,11291,"Yes"
68,2672,9,29,9649,1792,57,5801,"No"
59,670,15,41,1160,653,37,5352,"Yes"
96,960,27,60,1089,210,80,10223,"Yes"
69,3171,12,31,3557,658,74,8408,"Yes"
77,4600,36,71,7016,804,86,9982,"Yes"
50,3666,14,60,7703,2339,77,6203,"Yes"
90,441,26,52,846,377,66,10819,"Yes"
84,2178,39,78,2997,736,75,5358,"No"
77,327,9,34,731,370,71,10502,"Yes"
68,535,21,30,988,785,63,10622,"Yes"
55,772,10,30,1247,776,77,8575,"Yes"
51,888,26,52,624,128,80,8317,"Yes"
61,397,26,51,1343,1751,52,5925,"Yes"
66,859,13,51,1452,402,65,9034,"Yes"
94,2140,96,99,4481,28,99,33541,"Yes"
51,233,5,12,658,58,68,6971,"No"
52,555,16,43,836,684,70,6652,"Yes"
32,411,25,50,880,477,57,6383,"Yes"
48,293,11,32,336,80,54,9754,"Yes"
91,1668,37,70,2943,1260,93,8995,"Yes"
78,1074,15,40,1805,433,45,7307,"Yes"
82,772,25,58,1721,470,77,6881,"Yes"
80,1541,18,36,1927,1084,73,8707,"Yes"
59,1456,6,18,3471,911,48,3871,"No"
89,1382,30,64,2258,53,68,7762,"Yes"
85,7788,35,39,13606,807,81,7846,"No"
71,15096,23,57,26640,4120,93,10520,"No"
65,2288,42,77,5524,414,82,7473,"No"
49,331,15,36,1100,166,33,5524,"Yes"
71,3075,22,60,5146,1532,72,7832,"No"
64,461,26,52,685,49,63,8128,"Yes"
75,1261,29,62,1788,95,60,8149,"Yes"
58,834,32,61,1073,179,82,11218,"Yes"
67,1088,36,69,1773,884,35,7140,"Yes"
61,385,36,57,1695,721,77,6170,"Yes"
53,3277,18,57,10094,1621,77,6223,"No"
63,405,19,46,1673,1014,49,5704,"No"
100,1326,13,50,3689,2200,52,4172,"No"
27,983,5,35,1057,175,35,4333,"Yes"
56,503,28,57,671,11,91,11087,"Yes"
54,1881,14,34,1893,847,70,9492,"Yes"
74,544,45,72,1470,416,71,6112,"No"
37,2836,15,42,8730,993,75,6324,"No"
58,2128,19,53,6411,3186,82,6717,"No"
15,223,10,24,316,20,42,11989,"Yes"
60,2164,12,37,5983,1075,76,4795,"No"
74,955,23,58,1241,485,86,9566,"Yes"
83,1678,41,66,2852,153,71,8122,"Yes"
56,533,16,36,950,228,48,8111,"Yes"
60,730,2,13,926,12,53,6990,"Yes"
84,1314,47,79,1891,40,79,18359,"Yes"
44,276,17,37,600,435,45,5073,"Yes"
78,217,12,32,931,487,51,7016,"Yes"
64,317,20,49,806,542,44,6695,"Yes"
21,284,16,33,364,88,32,6525,"Yes"
80,1159,15,36,1243,79,77,8536,"Yes"
88,695,14,48,1170,429,74,6898,"Yes"
72,537,37,90,1039,466,53,10613,"Yes"
81,1086,26,61,1365,144,85,7215,"Yes"
58,485,18,36,1114,94,57,6869,"Yes"
83,1836,30,61,1656,352,76,10888,"Yes"
52,1910,29,55,5968,955,72,5972,"No"
73,922,24,46,1115,70,73,9333,"Yes"
71,347,23,48,2508,505,62,7905,"Yes"
61,798,36,68,1274,471,77,8797,"Yes"
72,1216,27,62,3311,1646,92,12529,"No"
34,601,40,73,1017,411,99,9241,"No"
71,7244,70,86,12408,2814,87,21227,"Yes"
83,722,14,36,601,36,57,5788,"Yes"
65,1796,65,99,1919,334,68,7788,"Yes"
57,1005,1,19,1380,136,65,6562,"No"
44,3089,12,33,6162,871,72,7090,"No"
62,7064,39,78,16505,5481,92,9670,"No"
52,689,7,24,646,84,77,10090,"Yes"
76,884,30,64,1310,766,73,8871,"Yes"
42,2297,13,47,7368,1128,79,6310,"No"
74,361,19,39,879,156,76,10889,"Yes"
76,4577,36,72,5640,266,69,6601,"No"
46,8492,16,42,11160,10221,73,9563,"Yes"
41,4931,23,48,11249,2682,78,6157,"No"
56,7219,12,37,14826,1979,73,6086,"No"
54,2535,8,29,4787,472,62,5284,"No"
58,514,29,52,1115,60,59,6261,"Yes"
68,811,22,56,1040,52,68,6357,"Yes"
92,5200,85,98,7450,45,96,26385,"Yes"
63,1625,8,29,1862,382,71,9209,"Yes"
33,324,15,37,500,311,44,4948,"Yes"
53,2581,16,56,6441,3982,88,6637,"No"
83,2767,50,89,2587,120,77,16593,"Yes"
79,1319,52,81,1686,35,91,16196,"Yes"
67,649,56,87,769,377,91,8568,"Yes"
83,2342,35,62,2502,66,73,9979,"Yes"
64,8298,21,54,14861,1310,79,8811,"No"
75,1700,36,65,1780,48,93,12011,"Yes"
50,681,35,59,1707,705,63,5511,"Yes"
45,765,22,44,1419,228,58,6578,"Yes"
48,3913,29,57,12830,1658,84,6433,"No"
87,1205,26,57,1648,936,62,8802,"Yes"
65,773,31,73,1310,61,63,6413,"Yes"
37,1336,22,46,1202,942,56,7114,"Yes"
62,3750,37,70,5809,4379,90,10059,"Yes"
83,1392,31,68,2580,302,78,9431,"Yes"
69,668,20,48,1316,139,48,9157,"Yes"
42,849,41,71,1041,35,76,11216,"Yes"
48,774,14,34,2174,529,77,6443,"No"
63,10344,48,93,28938,2025,77,8992,"No"
66,2037,86,96,2488,625,95,16185,"Yes"
44,501,10,40,959,457,48,4870,"No"
48,651,11,25,654,162,62,7634,"Yes"
68,1259,19,42,1664,1042,48,8028,"Yes"
39,576,19,50,597,83,58,8990,"Yes"
31,562,20,40,641,63,89,7309,"Yes"
61,400,28,48,797,100,48,5557,"Yes"
73,630,37,73,750,30,100,14820,"Yes"
54,687,20,43,1889,217,71,7895,"Yes"
66,744,7,38,1173,1402,45,7652,"Yes"
62,847,58,89,1379,214,90,14329,"Yes"
35,2234,10,22,4564,448,55,5967,"No"
85,832,34,63,1133,30,80,8354,"Yes"
99,2042,90,98,4540,146,91,28320,"Yes"
96,3346,20,55,3717,1358,66,8135,"Yes"
67,18744,29,60,26213,4065,86,8604,"No"
58,392,32,62,630,549,73,9315,"Yes"
80,707,22,66,1070,72,69,6880,"Yes"
86,2153,17,45,2677,714,63,8847,"Yes"
62,4894,15,37,8077,472,73,4519,"No"
47,957,6,29,2745,1938,74,7333,"No"
74,1325,21,46,1071,27,77,11080,"Yes"
68,616,35,66,653,56,88,16358,"Yes"
68,1436,47,80,1199,61,90,15886,"Yes"
84,385,18,38,581,533,81,11758,"Yes"
70,4165,53,82,4291,16,94,15605,"Yes"
77,1831,58,82,1345,59,90,13388,"Yes"
70,2424,16,31,2748,1309,84,11299,"Yes"
64,501,28,52,735,28,87,12472,"Yes"
81,386,6,28,590,1196,59,6744,"Yes"
72,1790,27,54,1460,239,85,9405,"Yes"
79,858,22,50,1127,754,60,7519,"Yes"
68,392,11,31,743,118,56,6422,"Yes"
61,2804,10,20,2111,1489,44,7957,"Yes"
90,1151,31,55,1668,1052,81,11561,"Yes"
81,321,28,53,624,269,79,9264,"Yes"
51,1431,21,70,5303,3942,76,7252,"No"
77,26330,36,79,21401,3712,90,10474,"No"
57,1752,27,79,2585,1300,90,10134,"No"
58,2690,26,62,4005,1886,90,11878,"No"
82,1896,19,51,1707,1889,71,7120,"Yes"
70,718,12,48,1345,390,56,7444,"Yes"
97,1553,15,40,1873,94,70,6719,"Yes"
58,3306,10,34,11493,2206,70,4629,"No"
48,166,13,36,513,247,43,7440,"Yes"
69,824,21,45,1223,451,64,7344,"Yes"
70,800,18,45,1691,72,76,9853,"Yes"
67,684,24,42,815,222,55,7360,"Yes"
85,682,12,33,716,2196,53,4322,"Yes"
83,2003,39,71,2473,1314,84,8243,"Yes"
76,241,20,52,543,712,87,8680,"Yes"
67,2855,44,67,4576,1140,84,18367,"Yes"
98,734,26,60,1433,27,74,11165,"Yes"
78,802,14,35,1263,118,68,5081,"Yes"
75,130,23,50,341,768,44,9678,"Yes"
84,1380,16,64,1715,106,79,10190,"Yes"
83,1673,38,73,2888,105,82,12502,"Yes"
53,1413,23,38,1921,1154,78,7669,"Yes"
88,595,19,35,1035,182,62,8534,"Yes"
55,647,15,65,1670,726,87,8953,"Yes"
98,384,23,52,700,45,46,8946,"Yes"
60,284,28,69,534,216,68,9599,"Yes"
56,2290,20,52,4296,1027,73,5125,"No"
61,1395,34,76,2959,402,74,9533,"Yes"
41,7020,20,70,16407,5550,87,7930,"No"
100,2779,40,73,3891,128,88,10872,"Yes"
83,768,57,82,1000,105,89,14779,"Yes"
55,688,20,65,1897,208,14,6874,"Yes"
52,413,19,51,521,99,51,8545,"Yes"
73,632,60,83,569,7,95,18372,"Yes"
66,1016,42,82,1922,704,83,10368,"Yes"
89,1540,28,72,2993,347,85,10175,"Yes"
64,3565,16,36,4384,1530,81,10080,"Yes"
71,794,24,56,752,210,71,10065,"Yes"
72,3281,14,53,5268,300,80,6719,"No"
58,445,23,70,1115,111,62,7356,"Yes"
100,1932,24,68,2669,616,71,8189,"Yes"
47,419,10,31,686,287,29,9431,"Yes"
79,782,23,53,1144,160,74,14086,"Yes"
70,872,27,57,1116,602,66,7411,"Yes"
48,400,13,35,614,271,73,7881,"Yes"
81,2728,25,62,2322,263,87,14837,"Yes"
90,1598,51,88,2479,95,85,21199,"Yes"
67,2589,13,37,7000,1103,62,5084,"No"
45,1870,18,43,6553,1246,75,5916,"No"
53,700,20,50,2962,651,55,4444,"No"
43,340,18,38,784,127,63,8219,"Yes"
43,2195,13,40,6063,2550,76,7498,"No"
72,3455,41,69,4892,387,74,12726,"Yes"
71,1093,12,32,1770,967,52,4718,"Yes"
56,5254,15,37,13131,3374,70,4632,"No"
51,938,13,33,2091,546,58,6591,"No"
36,318,11,27,620,280,44,5309,"Yes"
52,155,28,66,504,147,56,7818,"Yes"
67,912,44,77,1177,43,83,12995,"Yes"
89,201,10,45,589,263,50,6860,"Yes"
65,1237,47,83,1971,107,73,9988,"Yes"
49,362,15,32,1501,353,48,10938,"Yes"
78,1313,13,45,1688,131,91,9828,"Yes"
64,278,31,51,393,4,63,15622,"Yes"
66,1064,19,51,1687,677,86,7908,"Yes"
85,1820,31,56,1801,45,90,14980,"Yes"
40,165,5,25,494,574,43,9209,"Yes"
78,1611,36,80,2615,248,88,9619,"Yes"
63,695,42,73,1315,209,84,10357,"No"
72,1020,33,60,2149,418,82,7651,"Yes"
88,1243,30,56,1946,95,74,8595,"Yes"
45,581,8,17,617,34,45,8426,"Yes"
67,609,10,27,1117,815,69,6534,"Yes"
59,405,17,34,614,388,46,9995,"Yes"
73,1227,37,69,1964,81,85,10307,"Yes"
79,1249,51,93,1263,11,89,12837,"Yes"
64,1579,23,65,4365,765,78,5599,"No"
97,2300,25,69,2022,926,79,7495,"Yes"
74,9198,16,61,10168,1231,93,9075,"No"
80,6166,60,94,8544,671,83,8055,"No"
56,9649,36,100,13963,3124,90,11177,"No"
57,6969,27,66,9744,1351,91,13705,"No"
49,3564,7,34,5758,1363,79,6632,"No"
63,4556,17,70,6943,869,69,5280,"No"
42,3515,8,29,7626,2091,71,7511,"No"
53,3519,6,40,5011,346,82,5563,"No"
66,2798,13,48,4123,298,82,6442,"No"
76,4562,56,93,5060,146,79,5716,"No"
53,3609,19,53,4658,1478,85,6608,"No"
65,3583,9,40,5004,475,80,6174,"No"
59,2289,16,51,3598,234,71,6436,"No"
46,1264,5,33,2478,1441,80,8170,"No"
90,1512,27,59,1442,166,83,10554,"Yes"
61,402,36,68,527,41,91,18953,"Yes"
67,7260,28,67,10142,117,73,14231,"Yes"
53,183,19,41,396,38,55,7233,"Yes"
46,1500,30,60,908,119,56,5970,"Yes"
